"x Ressort 40N.m-1 (mm)","x Ressort 50N.m-1 (mm)","x Ressort 100N.m-1 (mm)","Temps (s)"
8.059179782867432,10.712862014770508,18.170976638793945,1.9600000000000015
8.34949016571045,10.483884811401367,18.289554119110107,1.9700000000000015
8.390378952026367,10.667884349822998,18.399953842163086,1.9800000000000015
8.860599994659424,10.9663724899292,17.148756980895996,1.9900000000000015
8.926022052764893,11.154460906982422,18.105554580688477,2.0000000000000013
9.502553939819336,11.023616790771484,19.05008554458618,2.010000000000001
9.199976921081543,12.229835987091064,18.579864501953125,2.020000000000001
8.82788896560669,12.004947662353516,18.424487113952637,2.0300000000000007
9.363532066345215,11.919081211090088,18.444931507110596,2.0400000000000005
9.9686861038208,13.485121726989746,18.01968812942505,2.0500000000000003
8.96691083908081,12.67552375793457,18.036043643951416,2.06
9.318554401397705,12.777745723724365,18.06466579437256,2.07
10.344862937927246,13.775432109832764,18.465375900268555,2.0799999999999996
9.588420391082764,13.252055644989014,17.986977100372314,2.0899999999999994
9.249043464660645,13.342010974884033,18.395864963531494,2.099999999999999
10.214018821716309,14.85898494720459,18.767952919006348,2.109999999999999
11.248505115509033,14.437830448150635,19.1400408744812,2.1199999999999988
10.49206256866455,13.239789009094238,18.579864501953125,2.1299999999999986
9.678375720977783,13.673210144042969,17.618978023529053,2.1399999999999983
9.858286380767822,13.693654537200928,17.144668102264404,2.149999999999998
9.731531143188477,14.797651767730713,17.982888221740723,2.159999999999998
9.727442264556885,13.775432109832764,17.778444290161133,2.1699999999999977
10.201752185821533,13.252055644989014,18.767952919006348,2.1799999999999975
10.692417621612549,14.323341846466064,18.70253086090088,2.1899999999999973
10.201752185821533,12.826812267303467,19.07052993774414,2.199999999999997
10.226285457611084,13.92672061920166,18.232309818267822,2.209999999999997
9.727442264556885,11.914992332458496,18.653464317321777,2.2199999999999966
10.156774520874023,13.374722003936768,18.305909633636475,2.2299999999999964
9.686553478240967,11.92317008972168,18.767952919006348,2.239999999999996
10.516595840454102,12.462902069091797,17.917466163635254,2.249999999999996
10.467529296875,11.44477128982544,17.958354949951172,2.259999999999996
10.680150985717773,11.567437648773193,17.144668102264404,2.2699999999999956
9.727442264556885,11.387526988983154,17.618978023529053,2.2799999999999954
9.662020206451416,11.636948585510254,18.130087852478027,2.289999999999995
10.287618637084961,10.606551170349121,18.579864501953125,2.299999999999995
10.328507423400879,10.954105854034424,19.054174423217773,2.3099999999999947
9.80921983718872,11.011350154876709,19.131863117218018,2.3199999999999945
9.388065338134766,11.199438571929932,19.193196296691895,2.3299999999999943
9.187710285186768,11.15037202835083,18.755686283111572,2.339999999999994
9.167265892028809,11.154460906982422,18.788397312164307,2.349999999999994
9.49028730392456,11.21988296508789,18.66164207458496,2.3599999999999937
9.903264045715332,11.301660537719727,18.759775161743164,2.3699999999999934
10.328507423400879,10.569751262664795,19.189107418060303,2.3799999999999932
13.521921634674072,10.9663724899292,19.1400408744812,2.389999999999993
9.825575351715088,11.69828176498413,19.04599666595459,2.399999999999993
9.846019744873047,11.011350154876709,18.583953380584717,2.4099999999999926
10.33259630203247,11.579704284667969,18.101465702056885,2.4199999999999924
9.915530681610107,12.139880657196045,17.618978023529053,2.429999999999992
9.948241710662842,11.951792240142822,18.036043643951416,2.439999999999992
8.177757263183594,12.638723850250244,17.144668102264404,2.4499999999999917
9.175443649291992,11.935436725616455,17.144668102264404,2.4599999999999915
9.310376644134521,13.505566120147705,17.982888221740723,2.4699999999999913
9.23677682876587,11.78823709487915,18.00333261489868,2.479999999999991
9.281754493713379,13.366544246673584,17.937910556793213,2.489999999999991
9.502553939819336,13.566899299621582,18.416309356689453,2.4999999999999907
10.324418544769287,12.769567966461182,17.97471046447754,2.5099999999999905
10.402107238769531,12.830901145935059,17.668044567108154,2.5199999999999902
9.600687026977539,13.69774341583252,17.561733722686768,2.52999999999999
9.682464599609375,14.26609754562378,17.140579223632812,2.53999999999999
9.392154216766357,14.282453060150146,17.124223709106445,2.5499999999999896
9.244954586029053,14.298808574676514,18.056488037109375,2.5599999999999894
9.73970890045166,13.79178762435913,17.618978023529053,2.569999999999989
9.71517562866211,12.822723388671875,17.20600128173828,2.579999999999989
10.087263584136963,12.785923480987549,18.097376823425293,2.5899999999999888
10.19357442855835,14.801740646362305,18.604397773742676,2.5999999999999885
10.209929943084717,13.56281042098999,18.604397773742676,2.6099999999999883
10.2181077003479,12.397480010986328,18.579864501953125,2.619999999999988
10.209929943084717,12.704145908355713,18.56759786605835,2.629999999999988
10.230374336242676,12.945389747619629,18.58804225921631,2.6399999999999877
9.698820114135742,13.685476779937744,18.57168674468994,2.6499999999999875
