Temps;Distance (mm);Masse (g);K (raideur du ressort);Fluide d'amortissement;Degré d'ouverture;Date d'éxperience;Nom d'utilisateur;Numéro de l'essai
6.083320617675781;296;;;;;;;
6.095388889312744;300;;;;;;;
6.103919744491577;290;;;;;;;
6.1154375076293945;290;;;;;;;
6.121236324310303;270;;;;;;;
6.136861801147461;276;;;;;;;
6.144998788833618;262;;;;;;;
6.153282880783081;254;;;;;;;
6.165689945220947;244;;;;;;;
6.173280239105225;236;;;;;;;
6.186505079269409;224;;;;;;;
6.192155838012695;220;;;;;;;
6.203146696090698;212;;;;;;;
6.212805509567261;192;;;;;;;
6.224469423294067;198;;;;;;;
6.2315592765808105;190;;;;;;;
6.247955799102783;182;;;;;;;
6.251868724822998;176;;;;;;;
6.26593804359436;172;;;;;;;
6.275952100753784;168;;;;;;;
6.2853193283081055;168;;;;;;;
6.296509742736816;160;;;;;;;
6.303978443145752;156;;;;;;;
6.316617965698242;148;;;;;;;
6.325032949447632;150;;;;;;;
6.337376832962036;142;;;;;;;
6.345134735107422;144;;;;;;;
6.358048439025879;128;;;;;;;
6.366204738616943;130;;;;;;;
6.378544569015503;140;;;;;;;
6.386296987533569;142;;;;;;;
6.399373769760132;142;;;;;;;
6.399373769760132;148;;;;;;;
6.419328212738037;146;;;;;;;
6.427680730819702;148;;;;;;;
6.440267086029053;156;;;;;;;
6.4482598304748535;156;;;;;;;
6.456376314163208;158;;;;;;;
6.467457056045532;160;;;;;;;
6.4770166873931885;164;;;;;;;
6.489427804946899;176;;;;;;;
6.4974541664123535;176;;;;;;;
6.509944200515747;176;;;;;;;
6.517818450927734;178;;;;;;;
6.530119895935059;196;;;;;;;
6.538302898406982;208;;;;;;;
6.551098823547363;212;;;;;;;
6.5587475299835205;224;;;;;;;
6.566988945007324;230;;;;;;;
6.579558372497559;236;;;;;;;
6.587583065032959;228;;;;;;;
6.599565029144287;250;;;;;;;
6.6079607009887695;256;;;;;;;
6.619982719421387;270;;;;;;;
6.628268480300903;276;;;;;;;
6.640679121017456;284;;;;;;;
6.64893651008606;290;;;;;;;
6.661172151565552;300;;;;;;;
6.66938042640686;284;;;;;;;
6.681621313095093;314;;;;;;;
6.689842939376831;308;;;;;;;
6.702422857284546;316;;;;;;;
6.710449695587158;316;;;;;;;
6.718640565872192;320;;;;;;;
6.731282472610474;312;;;;;;;
6.738759756088257;334;;;;;;;
6.748276472091675;326;;;;;;;
6.75963282585144;336;;;;;;;
6.771878004074097;336;;;;;;;
6.779939889907837;334;;;;;;;
6.792322397232056;328;;;;;;;
6.800012111663818;338;;;;;;;
6.812257528305054;316;;;;;;;
6.820564031600952;330;;;;;;;
6.828931570053101;328;;;;;;;
6.841158151626587;326;;;;;;;
6.849568128585815;320;;;;;;;
6.86191201210022;316;;;;;;;
6.870079040527344;296;;;;;;;
6.88250732421875;312;;;;;;;
6.890326499938965;300;;;;;;;
6.9027581214904785;292;;;;;;;
6.909973382949829;288;;;;;;;
6.922428846359253;286;;;;;;;
6.93094801902771;274;;;;;;;
6.943555116653442;272;;;;;;;
6.951465129852295;262;;;;;;;
6.959596395492554;258;;;;;;;
6.9724342823028564;248;;;;;;;
6.9806718826293945;246;;;;;;;
6.992947816848755;234;;;;;;;
7.0012242794036865;228;;;;;;;
7.013407945632935;214;;;;;;;
7.021618366241455;212;;;;;;;
7.033867597579956;194;;;;;;;
7.042027235031128;194;;;;;;;
7.054349184036255;192;;;;;;;
7.062574625015259;192;;;;;;;
7.074677467346191;178;;;;;;;
7.082939863204956;176;;;;;;;
7.09536337852478;178;;;;;;;
7.103621244430542;168;;;;;;;
7.11178994178772;168;;;;;;;
7.124009609222412;168;;;;;;;
7.132214069366455;160;;;;;;;
7.1449244022369385;152;;;;;;;
7.149965047836304;152;;;;;;;
7.1630637645721436;154;;;;;;;
7.173164367675781;136;;;;;;;
7.1832358837127686;132;;;;;;;
7.1910765171051025;148;;;;;;;
7.202413320541382;148;;;;;;;
7.2133142948150635;152;;;;;;;
7.2234179973602295;152;;;;;;;
7.2343738079071045;156;;;;;;;
7.239855051040649;156;;;;;;;
7.253970384597778;164;;;;;;;
7.263060569763184;152;;;;;;;
7.274750471115112;154;;;;;;;
7.28375768661499;170;;;;;;;
7.295064210891724;172;;;;;;;
7.304221868515015;186;;;;;;;
7.313597917556763;188;;;;;;;
7.324016571044922;194;;;;;;;
7.334430456161499;184;;;;;;;
7.344688415527344;204;;;;;;;
7.356208801269531;214;;;;;;;
7.3637471199035645;224;;;;;;;
7.373847723007202;226;;;;;;;
7.385503053665161;234;;;;;;;
7.394134521484375;236;;;;;;;
7.404424667358398;252;;;;;;;
7.414613246917725;250;;;;;;;
7.418461322784424;272;;;;;;;
7.434943437576294;264;;;;;;;
7.447087526321411;276;;;;;;;
7.4557740688323975;278;;;;;;;
7.467357873916626;282;;;;;;;
7.472782850265503;290;;;;;;;
7.487008810043335;300;;;;;;;
7.496397256851196;298;;;;;;;
7.5087668895721436;296;;;;;;;
7.517122030258179;304;;;;;;;
7.52546763420105;318;;;;;;;
7.537457704544067;318;;;;;;;
7.545875310897827;320;;;;;;;
7.558089017868042;320;;;;;;;
7.565353155136108;326;;;;;;;
7.578756093978882;326;;;;;;;
7.586596488952637;326;;;;;;;
7.599144458770752;320;;;;;;;
7.607421636581421;328;;;;;;;
7.6196513175964355;322;;;;;;;
7.627063512802124;320;;;;;;;
7.639802694320679;322;;;;;;;
7.6484458446502686;318;;;;;;;
7.656513452529907;308;;;;;;;
7.668737888336182;310;;;;;;;
7.676978826522827;302;;;;;;;
7.689309120178223;302;;;;;;;
7.69743275642395;298;;;;;;;
7.709715127944946;284;;;;;;;
7.717604875564575;278;;;;;;;
7.729962587356567;288;;;;;;;
7.738181114196777;278;;;;;;;
7.75052809715271;280;;;;;;;
7.758729457855225;264;;;;;;;
7.771134853363037;262;;;;;;;
7.779340982437134;244;;;;;;;
7.787393569946289;248;;;;;;;
7.799444913864136;230;;;;;;;
7.807757616043091;236;;;;;;;
7.819780349731445;226;;;;;;;
7.828030109405518;214;;;;;;;
7.840112686157227;206;;;;;;;
7.848668098449707;206;;;;;;;
7.861028432846069;196;;;;;;;
7.869237899780273;196;;;;;;;
7.879932880401611;184;;;;;;;
7.88972020149231;186;;;;;;;
7.9006593227386475;182;;;;;;;
7.910407781600952;178;;;;;;;
